code,name,country
10,Canadian World,Canada
11,TUIfly (X3),Germany
12,12 North,India
13,Eastern Atlantic Virtual Airlines,United States
20,Air Salone,Sierra Leone
24,Euro Jet,Germany
47,88,Cyprus
69,Royal European Airlines,United Kingdom
76,Southjet,United States
77,Southjet connect,United States
78,Southjet cargo,United States
88,All Australia,Australia
99,Ciao Air,Italy
0A,Amber Air,Lithuania
0B,Blue Air,Romania
0D,Darwin Airline,Switzerland
0J,Premium Jet AG,Switzerland
0X,Copenhagen Express,Denmark
1A,Amadeus Global Travel Distribution,Spain
1B,Abacus International,Singapore
1C,Electronic Data Systems,Switzerland
1C,OneChina,China
1D,Radixx Solutions International,United States
1E,Travelsky Technology,China
1F,INFINI Travel Information,Japan
1F,CB Airways UK ( Interliging Flights ),United Kingdom
1G,Galileo International,United States
1H,Siren-Travel,Russia
1I,Sky Trek International Airlines,United States
1K,Southern Cross Distribution,Australia
1K,Sutra,United States
1L,Open Skies Consultative Commission,United States
1M,JSC Transport Automated Information Systems,Russia
1N,Navitaire,United States
1P,Worldspan,United States
1Q,Sirena,Russia
1R,Hainan Phoenix Information Systems,China
1S,Sabre,United States
1T,1Time Airline,South Africa
1U,ITA Software,United States
1U,Polyot Sirena,Russia
1Z,Sabre Pacific,Australia
2A,Deutsche Bahn,Germany
2B,Aerocondor,Portugal
2C,SNCF,France
2D,Aero VIP,Argentina
2D,Alaniya Airlines,Russia
2D,Aero VIP (2D),Portugal
2F,Frontier Flying Service,United States
2G,Cargoitalia,Italy
2G,San Juan Airlines,United States
2H,Thalys,Belgium
2I,Star Peru (2I),Peru
2J,Air Burkina,Burkina Faso
2K,Aerolineas Galapagos (Aerogal),Ecuador
2L,Helvetic Airways,Switzerland
2M,Moldavian Airlines,Moldova
2N,NextJet,Sweden
2O,Air Salone,Sierra Leone
2P,Air Philippines,Philippines
2Q,Air Cargo Carriers,United States
2R,VIA Rail Canada,Canada
2S,Island Express,United States
2S,Star Equatorial Airlines,Guinea
2T,Haiti Ambassador Airlines,Haiti
