code,name,city,country
04G,Lansdowne Airport,Youngstown,United States
06A,Moton Field Municipal Airport,Tuskegee,United States
06C,Schaumburg Regional,Schaumburg,United States
06N,Randall Airport,Middletown,United States
09J,Jekyll Island Airport,Jekyll Island,United States
0A9,Elizabethton Municipal Airport,Elizabethton,United States
0G6,Williams County Airport,Bryan,United States
0G7,Finger Lakes Regional Airport,Seneca Falls,United States
0P2,Shoestring Aviation Airfield,Stewartstown,United States
0S9,Jefferson County Intl,Port Townsend,United States
0W3,Harford County Airport,Churchville,United States
10C,Galt Field Airport,Greenwood,United States
17G,Port Bucyrus-Crawford County Airport,Bucyrus,United States
19A,Jackson County Airport,Jefferson,United States
1A3,Martin Campbell Field Airport,Copperhill,United States
1B9,Mansfield Municipal,Mansfield,United States
1C9,Frazier Lake Airpark,Hollister,United States
1CS,Clow International Airport,Bolingbrook,United States
1G3,Kent State Airport,Kent,United States
1G4,Grand Canyon West Airport,Peach Springs,United States
1H2,Effingham Memorial Airport,Effingham,United States
1OH,Fortman Airport,St. Marys,United States
1RL,Point Roberts Airpark,Point Roberts,United States
23M,Clarke CO,Quitman,United States
24C,Lowell City Airport,Lowell,United States
24J,Suwannee County Airport,Live Oak,United States
25D,Forest Lake Airport,Forest Lake,United States
29D,Grove City Airport,Grove City,United States
2A0,Mark Anton Airport,Dayton,United States
2B2,Plum Island Airport,Newburyport,United States
2G2,Jefferson County Airpark,Steubenville,United States
2G9,Somerset County Airport,Somerset,United States
2H0,Shelby County Airport,Shelbyville,United States
2J9,Quincy Municipal Airport,Quincy,United States
36U,Heber City Municipal Airport,Heber,United States
38W,Lynden Airport,Lynden,United States
3D2,Ephraim-Gibraltar Airport,Ephraim,United States
3G3,Wadsworth Municipal,Wadsworth,United States
3G4,Ashland County Airport,Ashland,United States
3J1,Ridgeland Airport,Ridgeland,United States
3W2,Put-in-Bay Airport,Put-in-Bay,United States
40J,Perry-Foley Airport,Perry,United States
41N,Braceville Airport,Braceville,United States
47A,Cherokee County Airport,Canton,United States
49A,Gilmer County Airport,Ellijay,United States
49X,Chemehuevi Valley,Chemehuevi Valley,United States
4A4,Polk County Airport - Cornelius Moore Field,Cedartown,United States
4A7,Clayton County Tara Field,Hampton,United States
4A9,Isbell Field Airport,Fort Payne,United States
4B8,Robertson Field,Plainville,United States
4G0,Pittsburgh-Monroeville Airport,Monroeville,United States
4G2,Hamburg Inc Airport,Hamburg,United States
4G4,Youngstown Elser Metro Airport,Youngstown,United States
4I7,Putnam County Airport,Greencastle,United States
4U9,Dell Flight Strip,Dell,United States
52A,Madison GA Municipal Airport,Madison,United States
54J,DeFuniak Springs Airport,DeFuniak Springs,United States
55J,Fernandina Beach Municipal Airport,Fernandina Beach,United States
55S,Packwood,Packwood,United States
57C,East Troy Municipal Airport,East Troy,United States
5B2,Saratoga County Airport,Ballston Spa,United States
60J,Ocean Isle Beach Airport,Ocean Isle Beach,United States
6A2,Griffin-Spalding County Airport,Griffin,United States
6J4,Saluda County,Saluda,United States
6K8,Tok Junction Airport,Tok,United States
6S0,Big Timber Airport,Big Timber,United States
6S2,Florence,Florence,United States
6Y8,Welke Airport,Beaver Island,United States
70J,Cairo-Grady County Airport,Cairo,United States
70N,Spring Hill Airport,Sterling,United States
7A4,Foster Field,Apple River,United States
7D9,Germack Airport,Geneva,United States
7N7,Spitfire Aerodrome,Pedricktown,United States
8M8,Garland Airport,Lewiston,United States
93C,Richland Airport,Richland Center,United States
99N,Bamberg County Airport,Bamberg,United States
9A1,Covington Municipal Airport,Covington,United States
9A5,Barwick Lafayette Airport,LaFayette,United States
9G1,Rock Airport,Tarentum,United States
A39,Phoenix Regional Airport,Phoenix,United States
A50,Colorado Springs East,Ellicott,United States
AAA,Anaa,Anaa,French Polynesia
AAC,El Arish International Airport,El Arish,Egypt
AAE,Annaba,Annaba,Algeria
AAF,Apalachicola Regional Airport,Apalachicola,United States
